N,P,K,pH,SoilType
24.36350297118406,29.01428612819832,131.23957592679835,6.397987726295555,0
18.900466011060914,13.119890406724053,84.06585285177397,6.799264218662403,0
30.02787529358022,24.16145155592091,81.44091460070617,6.9548647782429915,0
35.81106602001054,14.246782213565524,92.72774770449705,5.77510676478015,0
22.60605607398844,20.495128632644757,110.2361513049481,5.936843710297063,0
30.296322368059485,12.789877213040837,100.45012539746527,6.049542764940537,0
26.4017496054259,25.703519227860273,93.97716475108518,6.271351657620418,0
29.810364221551062,10.929008254399955,122.5281396331007,5.755786185530937,0
16.62628982463199,28.977710745066666,147.59424231521916,6.712596022174692,0
22.61534422933427,11.953442280127678,127.89631185585098,6.160228740609402,0
18.05095587111947,19.903538202225405,82.40719647806529,6.863980603118173,0
21.469499540000424,23.25044568707964,101.81977532625876,6.280102031766717,0
28.66775698358199,13.697089110510541,147.8709239435191,6.662699235041671,0
38.48747353910473,27.896547008552975,121.85299851677595,6.8828113525346755,0
17.212312551297988,13.919657248382904,83.16591022373767,5.9879954961448965,0
24.71693224223705,15.426980635477918,138.01162564063506,6.035129990040383,0
22.023362742184517,20.853921663164968,89.86469574823339,6.703295471131059,0
16.863766091994272,29.737738732010346,134.05713385076604,5.798073522301259,0
15.13805292809006,26.309228569096682,129.4800140693332,6.593510752061481,0
34.281758667148644,11.480893034681808,105.09260099809909,5.673803589287695,0
36.57758564688984,22.46596253655116,103.16286173968544,5.595337525429035,0
22.774558042891556,16.503666440534943,131.0724324836645,6.45633620703282,0
37.18031856440817,19.444298503238986,88.37159721568112,6.569867180834493,0
34.019626215422434,21.225543951389923,133.96770259681927,6.240693394546586,0
28.06832073454985,18.550820367170992,81.77933887208667,5.661837140489957,0
15.785729642168356,22.72820822527561,102.00491867534286,6.2628560367470545,0
37.689161848152324,14.9858445829775,108.72680461249408,6.6333267078145735,0
20.71995413729056,11.53959819657586,100.28260170396376,5.741831930881006,0
38.242441308564324,26.16240759128834,124.33826295572965,6.807190885281576,0
35.09180192247786,13.731401177720716,142.47912989429844,6.309013362873476,0
35.18600387910156,27.921825998469863,102.26024324803046,5.665077886791515,0
20.698379063548543,18.542155772525128,137.2610336145745,6.791095874884515,0
15.173803263279767,20.214946051551316,109.21877022041453,5.833161715706096,0
17.99663418334207,16.75230342807256,146.00367927387634,5.984804398031133,0
27.969765543584153,24.060379177903556,105.45407216655057,6.957673124081441,0
39.06118237355278,15.035645916507283,114.80739541246697,5.951317464725155,0
22.12101235943669,10.737738947090655,122.66950337859278,6.254018534843292,0
16.286968781249733,15.57292928473223,143.57861201766576,5.859342836000459,0
18.622371802280576,19.78905520555126,148.99553178774204,5.863082907267251,0
31.803388685146963,25.23239230657435,96.63462807946797,6.59232452291779,0
24.194578317981332,22.64611661187159,124.34707975326262,6.303662026112137,0
17.257244251360206,26.70604991178476,102.4546045480215,5.779777765599781,0
16.0193785388691,21.817858863764837,127.42950532895978,5.524881743391784,0
27.802326457482025,14.529915503958758,125.1620953286615,5.761549643507487,0
32.27344345256165,17.734706926010748,145.57109921157144,5.70628141621899,0
23.52665877625646,12.269470424811782,144.7285532794994,6.816009030071472,0
21.44854069287889,23.19968092068358,137.20555401408512,6.332801217399194,0
28.24126445890016,14.837045818009035,86.51719374641294,6.84582363692999,0
37.51045142908326,22.66202914546536,103.73208537340905,6.0238143619189914,0
33.14889197175599,27.942205199051543,142.0960496985582,6.669813318786436,0
31.050791153857194,11.682799299900976,91.31400998662296,6.847831282790619,0
30.160726491489747,10.183941032332593,87.10300800062225,6.495252653662083,0
15.126539596155467,13.216161028349973,118.41136525566102,6.53784279653904,0
31.299031487565014,14.485386189211196,129.8525454943275,5.8558736312452,0
23.134992453981695,24.92982810236048,125.47430293330503,6.773835115741267,0
31.440322307508584,21.36617206670943,86.55723374796648,6.05157370458915,0
21.630059192043134,14.87979286758167,148.1107388326712,6.089646587000141,0
37.30116387942783,22.622772519945258,135.6367912479154,6.2539556396577884,0
29.422597115658977,19.850353876377277,93.66700914586312,6.583678172892258,0
22.019309061021396,10.486319328629076,125.18306071350175,5.765666019110573,0
38.51146460882286,29.078571540051747,144.0405073154314,6.055238050383167,0
15.386415413221686,28.566371251754507,109.972890382212,6.949982228565505,0
39.09049942723132,27.060189109347203,100.611422444871,6.077646592902888,0
36.27841678792142,16.338440103125553,91.86449226802648,6.335201893687525,0
38.40386935401952,23.92059593349946,119.90428190625555,5.645764740656153,0
30.375180667479242,29.801077002085265,89.80588106655668,6.277494478545605,0
36.93432679819888,24.815372355084087,128.79110186966875,6.553726125980663,0
23.98727878049388,15.871836885289866,136.65528088349595,6.715170092018771,0
36.67680796450259,28.264811051129428,115.79396792026564,6.252274442030799,0
34.95737947416938,22.999278615555305,129.13768140803924,6.693689004154152,0
37.250133545439155,16.759903137030715,106.29080668479608,5.640972909761303,0
29.45700352490435,10.718845475934842,112.59186126927221,6.313966952061365,0
22.163531303207108,21.816665211380215,82.13501749573346,5.556022283123822,0
35.56501401649146,17.20381282822526,88.89423588563193,6.283364890082207,0
34.24983882746527,14.316420549936863,123.60233330733001,5.628021197490652,0
16.292043029215193,20.62709263136296,117.84445851270746,6.45614485224731,0
33.15228334306654,29.51704158925069,116.14102438108367,5.984434709411869,0
34.87965486921759,15.416645025241484,110.72799944939453,5.617684572013399,0
15.633768585386438,29.252968293558503,138.51860843585442,6.543961309140547,0
25.223823610356746,13.465886401416915,90.95059298697602,5.875364347246893,0
28.730666617653014,24.291918454001248,126.21381637024119,5.919900845418915,0
38.87163201657985,24.75793833391537,118.80478367579805,6.417581119351528,0
25.490001560694747,14.954619790023148,104.91808750558832,6.6367691656965535,0
15.359837215743896,12.321452810138325,83.22018494152269,5.561093203478455,0
36.38651460027518,24.073157187600472,113.19216803611276,5.646751240976502,0
27.29039687792081,19.469435415611315,92.12413089370106,6.15077747385696,0
24.962618359934336,22.31700196104433,124.45655556073507,5.567956014658066,0
